year,id,label,value
1995,Baden-Wurttemberg,Baden-Wurttemberg,50316.1
1995,Bavaria,Bavaria,48910.5
1995,Berlin,Berlin,47086.3
1995,Brandenburg,Brandenburg,28444.2
1995,Bremen,Bremen,57176.8
1995,Hamburg,Hamburg,77750.4
1995,Hesse,Hesse,54133.7
1995,Lower Saxony,Lower Saxony,40455.5
1995,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,27876
1995,North Rhine-Westphalia,North Rhine-Westphalia,45830.5
1995,Rhineland-Palatinate,Rhineland-Palatinate,41384.7
1995,Saarland,Saarland,41910.5
1995,Saxony,Saxony,29315.4
1995,Saxony-Anhalt,Saxony-Anhalt,26664.4
1995,Schleswig-Holstein,Schleswig-Holstein,41205.8
1995,Thuringia,Thuringia,26063.9
1996,Baden-Wurttemberg,Baden-Wurttemberg,50758.1
1996,Bavaria,Bavaria,49291.5
1996,Berlin,Berlin,46543.2
1996,Brandenburg,Brandenburg,29588.3
1996,Bremen,Bremen,57130.4
1996,Hamburg,Hamburg,79078.9
1996,Hesse,Hesse,55006
1996,Lower Saxony,Lower Saxony,40264.2
1996,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,28862.1
1996,North Rhine-Westphalia,North Rhine-Westphalia,45601.3
1996,Rhineland-Palatinate,Rhineland-Palatinate,40988.6
1996,Saarland,Saarland,40697
1996,Saxony,Saxony,30406
1996,Saxony-Anhalt,Saxony-Anhalt,27837.6
1996,Schleswig-Holstein,Schleswig-Holstein,41411.4
1996,Thuringia,Thuringia,27052.9
1997,Baden-Wurttemberg,Baden-Wurttemberg,51483.5
1997,Bavaria,Bavaria,50275.1
1997,Berlin,Berlin,46091.3
1997,Brandenburg,Brandenburg,29977.1
1997,Bremen,Bremen,59119.9
1997,Hamburg,Hamburg,81983.1
1997,Hesse,Hesse,55940
1997,Lower Saxony,Lower Saxony,40797.3
1997,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,29411
1997,North Rhine-Westphalia,North Rhine-Westphalia,46510.5
1997,Rhineland-Palatinate,Rhineland-Palatinate,41980.1
1997,Saarland,Saarland,41536.5
1997,Saxony,Saxony,30487.2
1997,Saxony-Anhalt,Saxony-Anhalt,28656.3
1997,Schleswig-Holstein,Schleswig-Holstein,42027.2
1997,Thuringia,Thuringia,28007.8
1998,Baden-Wurttemberg,Baden-Wurttemberg,52613.3
1998,Bavaria,Bavaria,51999.5
1998,Berlin,Berlin,46398.7
1998,Brandenburg,Brandenburg,30332.1
1998,Bremen,Bremen,59891.9
1998,Hamburg,Hamburg,83792.4
1998,Hesse,Hesse,56723
1998,Lower Saxony,Lower Saxony,41776.1
1998,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,29520.5
1998,North Rhine-Westphalia,North Rhine-Westphalia,47413.5
1998,Rhineland-Palatinate,Rhineland-Palatinate,42031.9
1998,Saarland,Saarland,42230.9
1998,Saxony,Saxony,30944.5
1998,Saxony-Anhalt,Saxony-Anhalt,29105.8
1998,Schleswig-Holstein,Schleswig-Holstein,42120
1998,Thuringia,Thuringia,28734.6
1999,Baden-Wurttemberg,Baden-Wurttemberg,53837.8
1999,Bavaria,Bavaria,53145.8
1999,Berlin,Berlin,46748.1
1999,Brandenburg,Brandenburg,31315.7
1999,Bremen,Bremen,60153.9
1999,Hamburg,Hamburg,83868.9
1999,Hesse,Hesse,58551.8
1999,Lower Saxony,Lower Saxony,42297.7
1999,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,30303.9
1999,North Rhine-Westphalia,North Rhine-Westphalia,47492
1999,Rhineland-Palatinate,Rhineland-Palatinate,42705.8
1999,Saarland,Saarland,42841.4
1999,Saxony,Saxony,31616.5
1999,Saxony-Anhalt,Saxony-Anhalt,29586
1999,Schleswig-Holstein,Schleswig-Holstein,42134.1
1999,Thuringia,Thuringia,29669
2000,Baden-Wurttemberg,Baden-Wurttemberg,56545
2000,Bavaria,Bavaria,55775.3
2000,Berlin,Berlin,49069.3
2000,Brandenburg,Brandenburg,32915.2
2000,Bremen,Bremen,64379.4
2000,Hamburg,Hamburg,88087.2
2000,Hesse,Hesse,61026.8
2000,Lower Saxony,Lower Saxony,44474
2000,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,31484
2000,North Rhine-Westphalia,North Rhine-Westphalia,49413
2000,Rhineland-Palatinate,Rhineland-Palatinate,44130
2000,Saarland,Saarland,45449.1
2000,Saxony,Saxony,32682.3
2000,Saxony-Anhalt,Saxony-Anhalt,30861.2
2000,Schleswig-Holstein,Schleswig-Holstein,43730.9
2000,Thuringia,Thuringia,31025.9
2001,Baden-Wurttemberg,Baden-Wurttemberg,58122.7
2001,Bavaria,Bavaria,56790.2
2001,Berlin,Berlin,49030.6
2001,Brandenburg,Brandenburg,33370
2001,Bremen,Bremen,65865.3
2001,Hamburg,Hamburg,91687.1
2001,Hesse,Hesse,62307.7
2001,Lower Saxony,Lower Saxony,44555.7
2001,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,31824.4
2001,North Rhine-Westphalia,North Rhine-Westphalia,49801.8
2001,Rhineland-Palatinate,Rhineland-Palatinate,43577.4
2001,Saarland,Saarland,45980.2
2001,Saxony,Saxony,33617
2001,Saxony-Anhalt,Saxony-Anhalt,31313.3
2001,Schleswig-Holstein,Schleswig-Holstein,44222.8
2001,Thuringia,Thuringia,31702.7
2002,Baden-Wurttemberg,Baden-Wurttemberg,57385.2
2002,Bavaria,Bavaria,56982.2
2002,Berlin,Berlin,48345
2002,Brandenburg,Brandenburg,33439.6
2002,Bremen,Bremen,66508.5
2002,Hamburg,Hamburg,91509.3
