year,id,label,value
2001,Andaman and Nicobar Islands,Andaman and Nicobar Islands,3950.3
2001,Andhra Pradesh,Andhra Pradesh,2725.1
2001,Arunachal Pradesh,Arunachal Pradesh,2490.6
2001,Assam,Assam,1868.1
2001,Bihar,Bihar,902.9
2001,Chandigarh,Chandigarh,7919.6
2001,Chhattisgarh,Chhattisgarh,1842.8
2001,Delhi,Delhi,6101.9
2001,Goa,Goa,6842.9
2001,Gujarat,Gujarat,3169.7
2001,Haryana,Haryana,4026.4
2001,Himachal Pradesh,Himachal Pradesh,3667
2001,Jammu and Kashmir,Jammu and Kashmir,2311.3
2001,Jharkhand,Jharkhand,1691.5
2001,Karnataka,Karnataka,2775.2
2001,Kerala,Kerala,3180.8
2001,Madhya Pradesh,Madhya Pradesh,1868.3
2001,Maharashtra,Maharashtra,3665.1
2001,Manipur,Manipur,1908.8
2001,Meghalaya,Meghalaya,2509.8
2001,Mizoram,Mizoram,2846.5
2001,Nagaland,Nagaland,2594.2
2001,Odisha,Odisha,1651.1
2001,Puducherry,Puducherry,5683.3
2001,Punjab,Punjab,4247.8
2001,Rajasthan,Rajasthan,2110.9
2001,Sikkim,Sikkim,2729.2
2001,Tamil Nadu,Tamil Nadu,3100.3
2001,Telangana,Telangana,2597.7
2001,Tripura,Tripura,2588.1
2001,Uttar Pradesh,Uttar Pradesh,1488
2001,Uttarakhand,Uttarakhand,2318.7
2001,West Bengal,West Bengal,2547.5
2002,Andaman and Nicobar Islands,Andaman and Nicobar Islands,4159.2
2002,Andhra Pradesh,Andhra Pradesh,2761.9
2002,Arunachal Pradesh,Arunachal Pradesh,2296.7
2002,Assam,Assam,2004.1
2002,Bihar,Bihar,959.1
2002,Chandigarh,Chandigarh,8584.6
2002,Chhattisgarh,Chhattisgarh,1909.6
2002,Delhi,Delhi,6308.4
2002,Goa,Goa,7382.3
2002,Gujarat,Gujarat,3429.8
2002,Haryana,Haryana,4195.2
2002,Himachal Pradesh,Himachal Pradesh,3839.7
2002,Jammu and Kashmir,Jammu and Kashmir,2464.6
2002,Jharkhand,Jharkhand,1729
2002,Karnataka,Karnataka,2822.4
2002,Kerala,Kerala,3400.5
2002,Madhya Pradesh,Madhya Pradesh,1760.6
2002,Maharashtra,Maharashtra,3799.6
2002,Manipur,Manipur,1864.1
2002,Meghalaya,Meghalaya,2497.4
2002,Mizoram,Mizoram,2960.1
2002,Nagaland,Nagaland,2915.6
2002,Odisha,Odisha,1666.8
2002,Puducherry,Puducherry,6198
2002,Punjab,Punjab,4137.8
2002,Rajasthan,Rajasthan,1916.7
2002,Sikkim,Sikkim,2912.7
2002,Tamil Nadu,Tamil Nadu,3142.2
2002,Telangana,Telangana,2632.7
2002,Tripura,Tripura,2597
2002,Uttar Pradesh,Uttar Pradesh,1522.5
2002,Uttarakhand,Uttarakhand,2672
2002,West Bengal,West Bengal,2585.8
2003,Andaman and Nicobar Islands,Andaman and Nicobar Islands,4362.2
2003,Andhra Pradesh,Andhra Pradesh,2981.4
2003,Arunachal Pradesh,Arunachal Pradesh,2460.8
2003,Assam,Assam,2065.8
2003,Bihar,Bihar,920.1
2003,Chandigarh,Chandigarh,9096.6
2003,Chhattisgarh,Chhattisgarh,2146.4
2003,Delhi,Delhi,6611.4
2003,Goa,Goa,8004.1
2003,Gujarat,Gujarat,3843.9
2003,Haryana,Haryana,4506.2
2003,Himachal Pradesh,Himachal Pradesh,3992.3
2003,Jammu and Kashmir,Jammu and Kashmir,2543.9
2003,Jharkhand,Jharkhand,1823.2
2003,Karnataka,Karnataka,2899.7
2003,Kerala,Kerala,3622.6
2003,Madhya Pradesh,Madhya Pradesh,1961.3
2003,Maharashtra,Maharashtra,4082
2003,Manipur,Manipur,1984.6
2003,Meghalaya,Meghalaya,2587.5
2003,Mizoram,Mizoram,2968.4
2003,Nagaland,Nagaland,3136.5
2003,Odisha,Odisha,1939.7
2003,Puducherry,Puducherry,6438.6
2003,Punjab,Punjab,4269
2003,Rajasthan,Rajasthan,2271.4
2003,Sikkim,Sikkim,3091.9
2003,Tamil Nadu,Tamil Nadu,3319.2
2003,Telangana,Telangana,2842
2003,Tripura,Tripura,2761.5
2003,Uttar Pradesh,Uttar Pradesh,1570.8
2003,Uttarakhand,Uttarakhand,2789.9
2003,West Bengal,West Bengal,2762.4
2004,Andaman and Nicobar Islands,Andaman and Nicobar Islands,4130.1
2004,Andhra Pradesh,Andhra Pradesh,3444.7
2004,Arunachal Pradesh,Arunachal Pradesh,3425.1
2004,Assam,Assam,2464.8
2004,Bihar,Bihar,1017.1
2004,Chandigarh,Chandigarh,7777.2
2004,Chhattisgarh,Chhattisgarh,2681.5
2004,Delhi,Delhi,9245.6
2004,Goa,Goa,9944.2
2004,Gujarat,Gujarat,4435.2
2004,Haryana,Haryana,4795.8
2004,Himachal Pradesh,Himachal Pradesh,4840.8
2004,Jammu and Kashmir,Jammu and Kashmir,3336.9
2004,Jharkhand,Jharkhand,2647.6
2004,Karnataka,Karnataka,4578.6
2004,Kerala,Kerala,4892.7
2004,Madhya Pradesh,Madhya Pradesh,2059.1
2004,Maharashtra,Maharashtra,5058.3
2004,Manipur,Manipur,2750.1
2004,Meghalaya,Meghalaya,3422.3
2004,Mizoram,Mizoram,3313.9
2004,Nagaland,Nagaland,3287
2004,Odisha,Odisha,2411.4
2004,Puducherry,Puducherry,7228.2
2004,Punjab,Punjab,4418.3
2004,Rajasthan,Rajasthan,2522.7
2004,Sikkim,Sikkim,4395.6
2004,Tamil Nadu,Tamil Nadu,4369.9
2004,Telangana,Telangana,3687
2004,Tripura,Tripura,2917.6
2004,Uttar Pradesh,Uttar Pradesh,1762.3
2004,Uttarakhand,Uttarakhand,3698
2004,West Bengal,West Bengal,2795.9
