year,id,label,value
2018,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,1.86
2018,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,1.8
2018,Bretagne,Bretagne,1.78
2018,Centre-Val de Loire,Centre-Val de Loire,1.87
2018,Corse,Corse,1.42
2018,Grand Est,Grand Est,1.7
2018,Hauts-de-France,Hauts-de-France,1.85
2018,Île-de-France,Île-de-France,1.94
2018,Normandie,Normandie,1.83
2018,Nouvelle-Aquitaine,Nouvelle-Aquitaine,1.66
2018,Occitanie,Occitanie,1.73
2018,Pays de la Loire,Pays de la Loire,1.86
2018,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,1.96
2019,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,1.85
2019,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,1.76
2019,Bretagne,Bretagne,1.76
2019,Centre-Val de Loire,Centre-Val de Loire,1.87
2019,Corse,Corse,1.43
2019,Grand Est,Grand Est,1.68
2019,Hauts-de-France,Hauts-de-France,1.84
2019,Île-de-France,Île-de-France,1.95
2019,Normandie,Normandie,1.82
2019,Nouvelle-Aquitaine,Nouvelle-Aquitaine,1.66
2019,Occitanie,Occitanie,1.71
2019,Pays de la Loire,Pays de la Loire,1.84
2019,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,1.95
2020,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,1.79
2020,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,1.74
2020,Bretagne,Bretagne,1.72
2020,Centre-Val de Loire,Centre-Val de Loire,1.84
2020,Corse,Corse,1.35
2020,Grand Est,Grand Est,1.63
2020,Hauts-de-France,Hauts-de-France,1.81
2020,Île-de-France,Île-de-France,1.89
2020,Normandie,Normandie,1.78
2020,Nouvelle-Aquitaine,Nouvelle-Aquitaine,1.64
2020,Occitanie,Occitanie,1.69
2020,Pays de la Loire,Pays de la Loire,1.81
2020,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,1.89
2021,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,1.79
2021,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,1.72
2021,Bretagne,Bretagne,1.77
2021,Centre-Val de Loire,Centre-Val de Loire,1.85
2021,Corse,Corse,1.36
2021,Grand Est,Grand Est,1.63
2021,Hauts-de-France,Hauts-de-France,1.81
2021,Île-de-France,Île-de-France,1.87
2021,Normandie,Normandie,1.81
2021,Nouvelle-Aquitaine,Nouvelle-Aquitaine,1.66
2021,Occitanie,Occitanie,1.71
2021,Pays de la Loire,Pays de la Loire,1.85
2021,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,1.9
2022,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,1.73
2022,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,1.68
2022,Bretagne,Bretagne,1.7
2022,Centre-Val de Loire,Centre-Val de Loire,1.83
2022,Corse,Corse,1.36
2022,Grand Est,Grand Est,1.59
2022,Hauts-de-France,Hauts-de-France,1.78
2022,Île-de-France,Île-de-France,1.82
2022,Normandie,Normandie,1.79
2022,Nouvelle-Aquitaine,Nouvelle-Aquitaine,1.63
2022,Occitanie,Occitanie,1.66
2022,Pays de la Loire,Pays de la Loire,1.79
2022,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,1.87
2023,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,1.59
2023,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,1.58
2023,Bretagne,Bretagne,1.57
2023,Centre-Val de Loire,Centre-Val de Loire,1.7
2023,Corse,Corse,1.24
2023,Grand Est,Grand Est,1.48
2023,Hauts-de-France,Hauts-de-France,1.68
2023,Île-de-France,Île-de-France,1.72
2023,Normandie,Normandie,1.65
2023,Nouvelle-Aquitaine,Nouvelle-Aquitaine,1.5
2023,Occitanie,Occitanie,1.51
2023,Pays de la Loire,Pays de la Loire,1.66
2023,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,1.72
