REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
US46,South Dakota,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.1745,,USA,United States,A,Normal value,0,Units,2,Two
US30,Montana,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.0035,,USA,United States,A,Normal value,0,Units,2,Two
US45,South Carolina,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.959,,USA,United States,A,Normal value,0,Units,2,Two
US39,Ohio,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.9585,,USA,United States,A,Normal value,0,Units,2,Two
US17,Illinois,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.1895,,USA,United States,A,Normal value,0,Units,2,Two
US25,Massachusetts,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.8145,,USA,United States,A,Normal value,0,Units,2,Two
US11,District of Columbia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.983,,USA,United States,A,Normal value,0,Units,2,Two
US20,Kansas,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.1675,,USA,United States,A,Normal value,0,Units,2,Two
US15,Hawaii,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.311,,USA,United States,A,Normal value,0,Units,2,Two
US19,Iowa,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.035,,USA,United States,A,Normal value,0,Units,2,Two
US33,New Hampshire,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.6605,,USA,United States,A,Normal value,0,Units,2,Two
US48,Texas,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.4935,,USA,United States,A,Normal value,0,Units,2,Two
US26,Michigan,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.938,,USA,United States,A,Normal value,0,Units,2,Two
US50,Vermont,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.547,,USA,United States,A,Normal value,0,Units,2,Two
US22,Louisiana,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.0655,,USA,United States,A,Normal value,0,Units,2,Two
US51,Virginia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.8945,,USA,United States,A,Normal value,0,Units,2,Two
US49,Utah,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.7555,,USA,United States,A,Normal value,0,Units,2,Two
US04,Arizona,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.643,,USA,United States,A,Normal value,0,Units,2,Two
US36,New York,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.0125,,USA,United States,A,Normal value,0,Units,2,Two
US28,Mississippi,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.0455,,USA,United States,A,Normal value,0,Units,2,Two
US35,New Mexico,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.311,,USA,United States,A,Normal value,0,Units,2,Two
US24,Maryland,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.948,,USA,United States,A,Normal value,0,Units,2,Two
US16,Idaho,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.3035,,USA,United States,A,Normal value,0,Units,2,Two
US09,Connecticut,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.942,,USA,United States,A,Normal value,0,Units,2,Two
US42,Pennsylvania,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.857,,USA,United States,A,Normal value,0,Units,2,Two
US02,Alaska,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.4625,,USA,United States,A,Normal value,0,Units,2,Two
US38,North Dakota,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.8985,,USA,United States,A,Normal value,0,Units,2,Two
US23,Maine,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.6295,,USA,United States,A,Normal value,0,Units,2,Two
US13,Georgia,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.228,,USA,United States,A,Normal value,0,Units,2,Two
US01,Alabama,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,1.9415,,USA,United States,A,Normal value,0,Units,2,Two
US37,North Carolina,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.239,,USA,United States,A,Normal value,0,Units,2,Two
US32,Nevada,_Z,Not applicable,FERT_RATIO,Fertility rate,_T,Total,F,Female,BR_L_W,Live births per woman,2001,,2.5415,,USA,United States,A,Normal value,0,Units,2,Two
