year,id,label,value
1999,Anhui,Anhui,2161.4
1999,Beijing,Beijing,10594.6
1999,Chongqing,Chongqing,2678.4
1999,Fujian,Fujian,5099.9
1999,Gansu,Gansu,1870.8
1999,Guangdong,Guangdong,6381.9
1999,Guangxi Zhuang,Guangxi Zhuang,2078.0
1999,Guizhou,Guizhou,1262.9
1999,Hainan,Hainan,3119.5
1999,Hebei,Hebei,3386.4
1999,Heilongjiang,Heilongjiang,3743.6
1999,Henan,Henan,2390.1
1999,Hubei,Hubei,2694.0
1999,Hunan,Hunan,2436.3
1999,Jiangsu,Jiangsu,5281.8
1999,Jiangxi,Jiangxi,2179.6
1999,Jilin,Jilin,3118.0
1999,Liaoning,Liaoning,4945.3
1999,Nei Mongol,Nei Mongol,2898.5
1999,Ningxia Hui,Ningxia Hui,2423.4
1999,Quinghai,Quinghai,2345.2
1999,Shaanxi,Shaanxi,2182.5
1999,Shandong,Shandong,4178.4
1999,Shanghai,Shanghai,14099.3
1999,Shanxi,Shanxi,2589.9
1999,Sichuan,Sichuan,2117.3
1999,Tianjin,Tianjin,7728.8
1999,Xinjiang Uygur,Xinjiang Uygur,3281.0
1999,Xizang (Tibet),Xizang (Tibet),2072.4
1999,Yunnan,Yunnan,2259.2
1999,Zhejiang,Zhejiang,6020.4
2000,Anhui,Anhui,2243.8
2000,Beijing,Beijing,12129.0
2000,Chongqing,Chongqing,2808.6
2000,Fujian,Fujian,5474.5
2000,Gansu,Gansu,1996.5
2000,Guangdong,Guangdong,7124.7
2000,Guangxi Zhuang,Guangxi Zhuang,2128.2
2000,Guizhou,Guizhou,1338.7
2000,Hainan,Hainan,3333.9
2000,Hebei,Hebei,3677.5
2000,Heilongjiang,Heilongjiang,4007.6
2000,Henan,Henan,2595.8
2000,Hubei,Hubei,2879.2
2000,Hunan,Hunan,2621.9
2000,Jiangsu,Jiangsu,5718.5
2000,Jiangxi,Jiangxi,2283.0
2000,Jilin,Jilin,3540.5
2000,Liaoning,Liaoning,5398.0
2000,Nei Mongol,Nei Mongol,3142.2
2000,Ningxia Hui,Ningxia Hui,2620.0
2000,Quinghai,Quinghai,2493.2
2000,Shaanxi,Shaanxi,2404.4
2000,Shandong,Shandong,4526.1
2000,Shanghai,Shanghai,15609.0
2000,Shanxi,Shanxi,2777.9
2000,Sichuan,Sichuan,2215.5
2000,Tianjin,Tianjin,8557.7
2000,Xinjiang Uygur,Xinjiang Uygur,3706.5
2000,Xizang (Tibet),Xizang (Tibet),2219.0
2000,Yunnan,Yunnan,2313.5
2000,Zhejiang,Zhejiang,6617.5
2001,Anhui,Anhui,2514.5
2001,Beijing,Beijing,12828.0
2001,Chongqing,Chongqing,3274.3
2001,Fujian,Fujian,5636.1
2001,Gansu,Gansu,2111.5
2001,Guangdong,Guangdong,6567.8
2001,Guangxi Zhuang,Guangxi Zhuang,2263.9
2001,Guizhou,Guizhou,1423.8
2001,Hainan,Hainan,3463.9
2001,Hebei,Hebei,3900.6
2001,Heilongjiang,Heilongjiang,4202.1
2001,Henan,Henan,2751.8
2001,Hubei,Hubei,3243.3
2001,Hunan,Hunan,2755.6
2001,Jiangsu,Jiangsu,6090.6
2001,Jiangxi,Jiangxi,2474.5
2001,Jilin,Jilin,3730.7
2001,Liaoning,Liaoning,5676.5
2001,Nei Mongol,Nei Mongol,3409.5
2001,Ningxia Hui,Ningxia Hui,2874.2
2001,Quinghai,Quinghai,2739.4
2001,Shaanxi,Shaanxi,2603.7
2001,Shandong,Shandong,4822.2
2001,Shanghai,Shanghai,15280.2
2001,Shanxi,Shanxi,2949.5
2001,Sichuan,Sichuan,2432.5
2001,Tianjin,Tianjin,9046.9
2001,Xinjiang Uygur,Xinjiang Uygur,3806.7
2001,Xizang (Tibet),Xizang (Tibet),2545.3
2001,Yunnan,Yunnan,2379.2
2001,Zhejiang,Zhejiang,6955.6
2002,Anhui,Anhui,2918.1
2002,Beijing,Beijing,14897.0
2002,Chongqing,Chongqing,3794.8
2002,Fujian,Fujian,6020.2
2002,Gansu,Gansu,2280.0
2002,Guangdong,Guangdong,7205.6
2002,Guangxi Zhuang,Guangxi Zhuang,2451.5
2002,Guizhou,Guizhou,1517.9
2002,Hainan,Hainan,3749.0
2002,Hebei,Hebei,3838.2
2002,Heilongjiang,Heilongjiang,3983.4
2002,Henan,Henan,2940.8
2002,Hubei,Hubei,3479.0
2002,Hunan,Hunan,2933.4
2002,Jiangsu,Jiangsu,6708.5
2002,Jiangxi,Jiangxi,2718.7
2002,Jilin,Jilin,3545.7
2002,Liaoning,Liaoning,6082.9
2002,Nei Mongol,Nei Mongol,3813.4
2002,Ningxia Hui,Ningxia Hui,3088.8
2002,Quinghai,Quinghai,3016.7
2002,Shaanxi,Shaanxi,2882.3
2002,Shandong,Shandong,5196.9
2002,Shanghai,Shanghai,15845.8
2002,Shanxi,Shanxi,3305.8
2002,Sichuan,Sichuan,2729.0
2002,Tianjin,Tianjin,8962.9
2002,Xinjiang Uygur,Xinjiang Uygur,3965.1
2002,Xizang (Tibet),Xizang (Tibet),2831.4
2002,Yunnan,Yunnan,2549.8
2002,Zhejiang,Zhejiang,7885.8
2003,Anhui,Anhui,3187.4
2003,Beijing,Beijing,16496.5
2003,Chongqing,Chongqing,4255.2
2003,Fujian,Fujian,6510.2
2003,Gansu,Gansu,2516.2
2003,Guangdong,Guangdong,8130.0
2003,Guangxi Zhuang,Guangxi Zhuang,2627.1
2003,Guizhou,Guizhou,1683.8
2003,Hainan,Hainan,4014.7
2003,Hebei,Hebei,4266.8
2003,Heilongjiang,Heilongjiang,4314.7
2003,Henan,Henan,3274.9
2003,Hubei,Hubei,3816.1
2003,Hunan,Hunan,3189.3
2003,Jiangsu,Jiangsu,7608.0
2003,Jiangxi,Jiangxi,3015.1
2003,Jilin,Jilin,3610.6
2003,Liaoning,Liaoning,6397.5
2003,Nei Mongol,Nei Mongol,4564.7
2003,Ningxia Hui,Ningxia Hui,3479.8
2003,Quinghai,Quinghai,3287.7
2003,Shaanxi,Shaanxi,3213.6
2003,Shandong,Shandong,5448.7
2003,Shanghai,Shanghai,17569.0
2003,Shanxi,Shanxi,3927.5
2003,Sichuan,Sichuan,2981.8
2003,Tianjin,Tianjin,10183.8
2003,Xinjiang Uygur,Xinjiang Uygur,4454.5
2003,Xizang (Tibet),Xizang (Tibet),3118.3
2003,Yunnan,Yunnan,2744.2
2003,Zhejiang,Zhejiang,9157.2
2004,Anhui,Anhui,3509.6
2004,Beijing,Beijing,17846.5
2004,Chongqing,Chongqing,4668.1
2004,Fujian,Fujian,6897.7
2004,Gansu,Gansu,2773.2
2004,Guangdong,Guangdong,8727.0
2004,Guangxi Zhuang,Guangxi Zhuang,2880.9
2004,Guizhou,Guizhou,1800.4
2004,Hainan,Hainan,4181.8
2004,Hebei,Hebei,4749.4
2004,Heilongjiang,Heilongjiang,4616.2
2004,Henan,Henan,3688.8
2004,Hubei,Hubei,4148.4
2004,Hunan,Hunan,3526.4
2004,Jiangsu,Jiangsu,8396.7
2004,Jiangxi,Jiangxi,3380.2
2004,Jilin,Jilin,3862.2
2004,Liaoning,Liaoning,6538.0
2004,Nei Mongol,Nei Mongol,5239.9
2004,Ningxia Hui,Ningxia Hui,3767.9
2004,Quinghai,Quinghai,3508.0
2004,Shaanxi,Shaanxi,3637.0
2004,Shandong,Shandong,6177.8
2004,Shanghai,Shanghai,18814.6
2004,Shanxi,Shanxi,4467.2
2004,Sichuan,Sichuan,3320.7
2004,Tianjin,Tianjin,10908.0
2004,Xinjiang Uygur,Xinjiang Uygur,4711.7
2004,Xizang (Tibet),Xizang (Tibet),3364.4
2004,Yunnan,Yunnan,3027.3
2004,Zhejiang,Zhejiang,9935.2
2005,Anhui,Anhui,3864.8
2005,Beijing,Beijing,19557.9
2005,Chongqing,Chongqing,5122.8
2005,Fujian,Fujian,7509.6
2005,Gansu,Gansu,3050.1
2005,Guangdong,Guangdong,9986.5
