STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,ACTIVITY,Economic activity,PRICES,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,REF_YEAR_PRICE,Price reference year,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),Gross domestic product - Regions,I,A,Annual,TL2,TL2,BR17,Espírito Santo,_Z,Not applicable,POP,Population,_T,Total - all activities,_Z,Not applicable,PS,Persons,2022,,4106380,,BRA,Brazil,E,Estimated value,_Z,,0,Units,0,Zero,_Z,Not applicable
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),Gross domestic product - Regions,I,A,Annual,TL2,TL2,BR04,Pará,_Z,Not applicable,POP,Population,_T,Total - all activities,_Z,Not applicable,PS,Persons,2022,,8739520,,BRA,Brazil,E,Estimated value,_Z,,0,Units,0,Zero,_Z,Not applicable
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),Gross domestic product - Regions,I,A,Annual,TL2,TL2,BR20,São Paulo,_Z,Not applicable,POP,Population,_T,Total - all activities,_Z,Not applicable,PS,Persons,2022,,46423820,,BRA,Brazil,E,Estimated value,_Z,,0,Units,0,Zero,_Z,Not applicable
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),Gross domestic product - Regions,I,A,Annual,TL2,TL2,BR27,Mato Grosso do Sul,_Z,Not applicable,POP,Population,_T,Total - all activities,_Z,Not applicable,PS,Persons,2022,,2860090,,BRA,Brazil,E,Estimated value,_Z,,0,Units,0,Zero,_Z,Not applicable
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),Gross domestic product - Regions,I,A,Annual,TL2,TL2,BR15,Rio Grande do Norte,_Z,Not applicable,POP,Population,_T,Total - all activities,_Z,Not applicable,PS,Persons,2022,,3522630,,BRA,Brazil,E,Estimated value,_Z,,0,Units,0,Zero,_Z,Not applicable
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),Gross domestic product - Regions,I,A,Annual,TL2,TL2,BR03,Amazonas,_Z,Not applicable,POP,Population,_T,Total - all activities,_Z,Not applicable,PS,Persons,2022,,4273730,,BRA,Brazil,E,Estimated value,_Z,,0,Units,0,Zero,_Z,Not applicable
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),Gross domestic product - Regions,I,A,Annual,TL2,TL2,BR07,Tocantins,_Z,Not applicable,POP,Population,_T,Total - all activities,_Z,Not applicable,PS,Persons,2022,,1597360,,BRA,Brazil,E,Estimated value,_Z,,0,Units,0,Zero,_Z,Not applicable
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),Gross domestic product - Regions,I,A,Annual,TL2,TL2,BR11,Maranhão,_Z,Not applicable,POP,Population,_T,Total - all activities,_Z,Not applicable,PS,Persons,2022,,7105830,,BRA,Brazil,E,Estimated value,_Z,,0,Units,0,Zero,_Z,Not applicable
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),Gross domestic product - Regions,I,A,Annual,TL2,TL2,BR23,Santa Catarina,_Z,Not applicable,POP,Population,_T,Total - all activities,_Z,Not applicable,PS,Persons,2022,,7578460,,BRA,Brazil,E,Estimated value,_Z,,0,Units,0,Zero,_Z,Not applicable
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.4),Gross domestic product - Regions,I,A,Annual,TL2,TL2,BR10,Ceará,_Z,Not applicable,POP,Population,_T,Total - all activities,_Z,Not applicable,PS,Persons,2022,,9238270,,BRA,Brazil,E,Estimated value,_Z,,0,Units,0,Zero,_Z,Not applicable
